id,property_name,avg_price_per_night,guests,bedrooms,beds,baths,reviews,Rating,Ocupação,Receita Bruta
15599447,Newly updated 3BD/3.5BA town home in Vista Cay!,$189.00,10,3,3,3.5,40,5,76.08%,"$52,486.09"
19605653,Oasis Retreat by Sparkling pool!,$119.00,8,3,3,2,25,5,82.75%,"$35,942.46"
19716237,Resort pool smart house,$199.00,8,3,3,2,22,5,75.58%,"$54,899.95"
17591776,"Close by DISNEY, where Dreams come true.",$100.00,6,3,3,2,35,5,77.33%,"$28,226.67"
12983935,Downtown Orlando Luxury Townhouse,$149.00,6,3,3,2,47,5,82.50%,"$44,867.63"
22504951,DOWNTOWN ORLANDO - PRIVATE POOL HOME - RETREAT,$129.00,6,3,3,2,26,5,81.08%,"$38,178.09"
17684845,Disney Home for YOU,$68.00,6,3,3,2.5,38,5,79.33%,"$19,690.53"
12965841,Townhouse Home from Home,$85.00,6,3,4,2.5,61,5,78.75%,"$24,432.19"
8086960,Villa Zion - Feel @ home when away!,$70.00,6,3,4,2.5,102,5,70.83%,"$18,097.92"
20363744,Entire Home - Luxury Resort - 3 bedrooms,$94.00,6,3,4,2.5,93,5,81.67%,"$28,019.83"
8538084,Beautiful 3 Bedroom Townhome / SPA,$95.00,8,3,4,2.5,66,5,84.00%,"$29,127.00"
9443000,Beautiful Kissimmee Pool Home,$130.00,6,3,4,2,56,5,80.42%,"$38,157.71"
3152957,Luxury Superior 3Bd House with Private Pool@Disney,$92.00,8,3,4,2,74,4.5,84.50%,"$28,375.10"
287406,3BD Villa near Disney@VB from $89nt,$99.00,6,3,4,2,151,4.5,74.75%,"$27,010.91"
137602,3 Bedroom Disney Area home,$79.00,6,3,4,2.5,103,4.5,73.83%,"$21,289.84"
11168851,Condo Near Walt Disney World - Kissimmee,$79.00,8,3,4,2,93,5,82.08%,"$23,668.73"
12195260,Lakeside Florida holiday home close to attractions,$97.00,6,3,4,2.5,34,5,77.42%,"$27,409.37"
6673970,3 bedroom Orlando Florida pool home,$100.00,6,3,4,2,75,5,78.00%,"$28,470.00"
9698631,Magical Villa Next to Disney Parks,$90.00,6,3,4,2.5,76,4.5,74.83%,"$24,582.75"
12932620,The Anchor House at Terra Verde,$65.00,8,3,4,2.5,72,5,82.75%,"$19,632.44"
