id,property_name,avg_price_per_night,guests,bedrooms,beds,baths,reviews,Rating,Ocupação,Receita Bruta
16032827,Amazing Resort Condo Near Disney.,89.00,8.00,2.00,6.00,2.00,133.00,5.00,0.83,27070.83
19800550,2BR Luxury townhome - Waterpark! 10 min to Disney,125.00,6.00,2.00,6.00,2.00,49.00,5.00,0.75,34370.83
13046652,DISNEY WORLD ORLANDO - FEEL AT HOME IN THIS PLACE,79.00,6.00,3.00,3.00,2.00,64.00,4.50,0.75,21578.19
21438273,"Nice big house, close to Disney and attractions!",75.00,9.00,3.00,3.00,2.00,73.00,4.50,0.74,20280.31
15599447,Newly updated 3BD/3.5BA town home in Vista Cay!,189.00,10.00,3.00,3.00,3.50,40.00,5.00,0.76,52486.09
19605653,Oasis Retreat by Sparkling pool!,119.00,8.00,3.00,3.00,2.00,25.00,5.00,0.83,35942.46
19716237,Resort pool smart house,199.00,8.00,3.00,3.00,2.00,22.00,5.00,0.76,54899.95
17591776,"Close by DISNEY, where Dreams come true.",100.00,6.00,3.00,3.00,2.00,35.00,5.00,0.77,28226.67
12983935,Downtown Orlando Luxury Townhouse,149.00,6.00,3.00,3.00,2.00,47.00,5.00,0.83,44867.63
22504951,DOWNTOWN ORLANDO - PRIVATE POOL HOME - RETREAT,129.00,6.00,3.00,3.00,2.00,26.00,5.00,0.81,38178.09
17684845,Disney Home for YOU,68.00,6.00,3.00,3.00,2.50,38.00,5.00,0.79,19690.53
12965841,Townhouse Home from Home,85.00,6.00,3.00,4.00,2.50,61.00,5.00,0.79,24432.19
8086960,Villa Zion - Feel @ home when away!,70.00,6.00,3.00,4.00,2.50,102.00,5.00,0.71,18097.92
20363744,Entire Home - Luxury Resort - 3 bedrooms,94.00,6.00,3.00,4.00,2.50,93.00,5.00,0.82,28019.83
8538084,Beautiful 3 Bedroom Townhome / SPA,95.00,8.00,3.00,4.00,2.50,66.00,5.00,0.84,29127.00
9443000,Beautiful Kissimmee Pool Home,130.00,6.00,3.00,4.00,2.00,56.00,5.00,0.80,38157.71
3152957,Luxury Superior 3Bd House with Private Pool@Disney,92.00,8.00,3.00,4.00,2.00,74.00,4.50,0.85,28375.10
287406,3BD Villa near Disney@VB from $89nt,99.00,6.00,3.00,4.00,2.00,151.00,4.50,0.75,27010.91
137602,3 Bedroom Disney Area home,79.00,6.00,3.00,4.00,2.50,103.00,4.50,0.74,21289.84
11168851,Condo Near Walt Disney World - Kissimmee,79.00,8.00,3.00,4.00,2.00,93.00,5.00,0.82,23668.73
12195260,Lakeside Florida holiday home close to attractions,97.00,6.00,3.00,4.00,2.50,34.00,5.00,0.77,27409.37
6673970,3 bedroom Orlando Florida pool home,100.00,6.00,3.00,4.00,2.00,75.00,5.00,0.78,28470.00
9698631,Magical Villa Next to Disney Parks,90.00,6.00,3.00,4.00,2.50,76.00,4.50,0.75,24582.75
12932620,The Anchor House at Terra Verde,65.00,8.00,3.00,4.00,2.50,72.00,5.00,0.83,19632.44
22205836,Single Level - No Carpet - Gated Community! (4695),99.00,8.00,3.00,4.00,2.00,22.00,5.00,0.79,28426.20
1772507,SUNSET LAKE ASK FOR SPECIAL $,115.00,6.00,3.00,4.00,2.00,46.00,5.00,0.80,33440.08
1816829,3BR Villa near Disney@7D from $95nt,95.00,6.00,3.00,4.00,2.00,117.00,4.50,0.76,26381.90
7591082,$149+ pool and lake view by Disney,149.00,6.00,3.00,4.00,2.00,107.00,5.00,0.78,42420.30
20480676,Vista Bay Villa,95.00,6.00,3.00,4.00,2.00,42.00,5.00,0.79,27393.25
18652692,Beautiful Hollywood Style home next to Disney,145.00,7.00,3.00,4.00,2.50,40.00,5.00,0.78,41060.98
3696964,3 BED/2BATH LAKE VIEW CONDO - VISTA CAY (1005),169.00,7.00,3.00,4.00,2.00,70.00,5.00,0.76,46777.79
10442883,OCCC Home 4-3-2 Walk to Publix Walk to Pool/Hoops,91.00,8.00,3.00,4.00,2.00,162.00,5.00,0.83,27457.73
17455140,Convention Center Classic in Luxury Resort wlk2mkt,55.00,8.00,3.00,4.00,2.00,66.00,5.00,0.79,15926.17
1700198,Beautiful Resort Condo,70.00,7.00,3.00,4.00,2.00,201.00,5.00,0.83,21100.04
1728673,REUNION RESORT LUXURIOUS VACATION,85.00,8.00,3.00,4.00,2.50,74.00,4.50,0.75,23268.75
6133023,3-story townhome sleeps up to 10!!!,123.00,10.00,3.00,4.00,3.50,64.00,5.00,0.75,33633.84
6184085,Fantastic 3BR condo close to pool!!,119.00,8.00,3.00,4.00,2.00,75.00,5.00,0.76,32938.21
8185243,Modern design for a luxurious stay,108.00,6.00,3.00,4.00,2.00,50.00,5.00,0.84,33145.65
8552155,3BR/2BA 1st floor condo sleeps 10!,150.00,10.00,3.00,4.00,2.00,52.00,5.00,0.82,45031.88
11336987,"Charming 3BR, 2BA Orlando Condo!!!!",107.00,8.00,3.00,4.00,2.00,40.00,5.00,0.81,31732.19
2411447,Vista Cay Townhome 4 BED 3 BATH,128.00,8.00,3.00,4.00,3.50,108.00,5.00,0.85,39906.67
11187399,4 MIN TO CON. CENTER + FREE PRK/WIFI/POOL#26109,160.00,10.00,3.00,4.00,2.00,63.00,5.00,0.79,46038.67
2887828,"$139+ for 6, private pool by Disney",139.00,6.00,3.00,4.00,2.00,132.00,5.00,0.81,41264.47
8809051,Stylish Vista Cay Condo. Nr all Parks and OCCC,210.00,6.00,3.00,4.00,2.00,36.00,5.00,0.76,58317.88
2985306,Orlando Vacation Condo - 3bed/2bath,140.00,7.00,3.00,4.00,2.00,144.00,5.00,0.74,37941.75
8014031,Beautiful Pool Home Close to all Attractions!,150.00,7.00,3.00,4.00,2.00,72.00,5.00,0.83,45579.38
11658737,Top Fl Suite 10 min to DISNEY w/ FIREWORKS view,129.00,8.00,3.00,4.00,2.00,27.00,5.00,0.79,37314.86
13866723,Spacious 2BR+Loft Resort Condo 3 Miles to Disney!!,90.00,7.00,3.00,4.00,2.00,56.00,5.00,0.75,24500.63
13655042,Cancelled #13,122.00,8.00,3.00,4.00,2.00,14.00,5.00,0.83,36959.90
6332230,Luxury 3-bdr house next to Disney,105.00,8.00,3.00,4.00,3.00,97.00,5.00,0.82,31426.50
7558456,Casa Encantada Resort Disney,86.00,8.00,3.00,4.00,2.50,54.00,5.00,0.77,24274.93
7678340,Beautiful 3 bedroom 2 bath condo,119.00,6.00,3.00,4.00,2.00,59.00,5.00,0.78,34024.08
13897065,Vista Cay 3B Lakeview Condo (#3104),135.00,8.00,3.00,4.00,2.00,79.00,5.00,0.81,39830.63
16367143,NEW! Home Near Disney - Lucaya Village (16-106),119.00,6.00,3.00,4.00,2.00,59.00,5.00,0.79,34168.87
21028983,NEW! 3 Bedroom / 2 Bathroom Lucaya 15-102,110.00,8.00,3.00,4.00,2.00,28.00,5.00,0.78,31350.46
12953250,Cozy Condo3/2- Near Disney Resort Areas,78.00,8.00,3.00,4.00,2.00,56.00,5.00,0.86,24531.65
19428269,New Town House Very Confortable,83.00,8.00,3.00,4.00,2.00,26.00,5.00,0.86,25977.96
15998055,LUXURY 3BED 2BATH TOWNHOUSE CLOSE TO DISNEY!!!,99.00,6.00,3.00,4.00,2.00,54.00,5.00,0.80,28757.44
23964247,Gorgeous Villa at Seven Dwarfs. Near Disney!,94.00,6.00,3.00,4.00,2.00,17.00,5.00,0.78,26790.39
17544911,Regal Oaks Resort Getaway at Disney Orlando,129.00,7.00,3.00,4.00,3.00,41.00,5.00,0.74,34764.43
19471696,3-Star Hotel Suite Grade Luxury House near Parks,50.00,9.00,3.00,4.00,2.00,106.00,5.00,0.75,13687.50
20203477,Newly Renovated Home 10 Minutes from Disney!,94.00,6.00,3.00,4.00,2.00,30.00,5.00,0.78,26647.43
9334210,Orlando Florida Conv Ctr 3 ensuites,111.00,10.00,3.00,4.00,3.50,136.00,5.00,0.80,32445.76
12431348,☆Big Townhouse near airport & 25 min to Disney☆,100.00,8.00,3.00,4.00,1.50,236.00,5.00,0.79,28926.25
17775379,Spacious townhome close to Disney World,85.00,6.00,3.00,4.00,3.00,28.00,5.00,0.81,25052.69
19713980,Resort Vacation ★ 4m to Disney ★ Fun Water Slides,100.00,8.00,3.00,4.00,3.00,32.00,5.00,0.77,28105.00
8319329,The best view inside and out.,130.00,8.00,3.00,4.00,2.00,90.00,5.00,0.78,37129.63
14826133,Make Rich Everlasting Memories & Dreams Come True,120.00,8.00,3.00,4.00,2.00,19.00,5.00,0.78,34200.50
15144296,Luxurious Cane Island Resort condo near Disney,89.00,6.00,3.00,4.00,2.00,38.00,5.00,0.83,26827.20
17434896,Private Home w/ Pool/3 Bd 2 Bath/Close to Disney,118.00,6.00,3.00,4.00,2.00,43.00,5.00,0.85,36573.61
20000028,MyRental Property 21,122.00,8.00,3.00,4.00,2.00,43.00,5.00,0.82,36551.71
20000045,MyRental Property 04,122.00,8.00,3.00,4.00,2.00,30.00,4.50,0.84,37330.98
19554341,LAS FUENTES VILLA,95.00,7.00,3.00,4.00,2.00,40.00,4.50,0.80,27768.90
13342365,"Great place for 8, just 10 min from Disney + WiFi",91.00,8.00,3.00,5.00,2.00,49.00,5.00,0.82,27180.94
24980019,Fantastic Resort Condo 15 min from Disney,76.00,8.00,3.00,5.00,2.00,34.00,5.00,0.82,22769.92
5252947,"Disney Luxury 5* Star Condo 3 BD / 2,5 BT - SLP 8",75.00,8.00,3.00,5.00,2.50,122.00,5.00,0.75,20576.88
1569029,JUST REMODELED!! 3BDR/2BTH Villa near Disney World,98.00,8.00,3.00,5.00,2.00,154.00,4.50,0.89,31656.45
17875047,Comfortable and Beautiful 3BR House near Disney,80.00,6.00,3.00,5.00,2.00,66.00,4.50,0.78,22800.33
13811990,Disney Delight,75.00,8.00,3.00,5.00,2.00,76.00,4.50,0.83,22721.25
7843162,DISNEY WORLD ORLANDO - THE BEST PLACE IN TOWN,80.00,6.00,3.00,5.00,2.50,91.00,4.50,0.82,23798.00
19193485,3 Bed Townhouse on gated community in Kissimmee.,80.00,6.00,3.00,5.00,2.00,8.00,5.00,0.80,23335.67
4732934,Amazing Townhome near Disney,81.00,8.00,3.00,5.00,2.50,58.00,4.50,0.77,22740.41
15541665,Fun for All at Laguna Bay,89.00,6.00,3.00,5.00,2.00,74.00,5.00,0.82,26583.56
20182582,Bella Vida Hideaway with Splash pool,89.00,6.00,3.00,5.00,3.00,18.00,5.00,0.76,24553.25
50006,Villas at Seven Dwarfs 25,80.00,8.00,3.00,5.00,2.00,137.00,4.50,0.79,23068.00
22009529,Wonderful Family Oriented Home in Lovely Kissimmee,116.00,8.00,3.00,5.00,2.00,42.00,5.00,0.81,34471.82
768869,"3 Bed Shuttle DISNEY, V NICE RESORT",95.00,7.00,3.00,5.00,2.00,105.00,5.00,0.79,27451.04
10500134,3 bedroom Villa in Kissimmee,70.00,7.00,3.00,5.00,2.00,72.00,4.50,0.76,19396.71
26957501,Villa in Seven Dwarfs Resort 3/2 Disney Área!!!!,100.00,7.00,3.00,5.00,2.00,32.00,5.00,0.81,29382.50
2710757,Close to Disney! Immaculate Villa ! Great Resort!,125.00,8.00,3.00,5.00,2.00,115.00,5.00,0.82,37184.38
18999513,Entire Home; Spacious 3bed/2bath Near Attractions,84.00,7.00,3.00,5.00,2.00,57.00,5.00,0.76,23250.50
4902174,Villa Yvette 3 BDR near Disney,70.00,6.00,3.00,5.00,2.50,48.00,4.50,0.75,19205.08
23189746,Sweet vacation home,89.00,8.00,3.00,5.00,2.00,27.00,5.00,0.83,27016.69
11190914,"Spacious 3 Bedroom w/Game Room Loft, Near DISNEY",82.00,8.00,3.00,5.00,2.00,37.00,5.00,0.81,24193.42
5882835,Convention Center Shingle Parks,114.00,10.00,3.00,5.00,3.50,174.00,5.00,0.79,32802.55
23921376,Beautiful 3BD town home in the Vista Cay Resort!!!,141.00,10.00,3.00,5.00,3.50,12.00,5.00,0.78,40314.25
2687369,"Clean, Comfortable, and Spacious!",71.00,8.00,3.00,5.00,2.50,170.00,5.00,0.82,21250.30
17731571,"10 min to Disney, Wifi + Cable, Sleep Number Bed!",71.00,8.00,3.00,5.00,3.00,39.00,5.00,0.83,21466.26
